Game.Id,Period,Time,Scorer,Assist.1,Assist.2,TeamId,Note,season,SQ
1094,3,1045,1274,1253,NA,17,ES,66,NA
1098,1,204,1429,NA,NA,3,ES,66,NA
1098,1,542,1425,1104,1487,6,ES,66,NA
1098,1,663,1035,1093,1372,3,ES,66,NA
1098,2,191,1269,1696,1293,3,ES,66,NA
1098,2,660,1425,1045,NA,6,ES,66,NA
1098,2,1114,1035,1346,1093,3,ES,66,NA
1098,2,1148,1876,1005,1162,3,ES,66,NA
1091,1,486,1111,1200,1027,2,ES,66,NA
1091,2,186,1740,1111,988,2,ES,66,NA
1091,2,743,1305,1302,1740,2,PP,66,NA
1091,3,620,1734,1733,NA,16,PP,66,NA
1091,3,1195,828,1111,1267,2,"ES, ENG",66,NA
1099,1,468,1412,1178,783,0,ES,66,NA
1099,1,495,1629,1199,783,0,ES,66,NA
1099,1,549,1009,NA,NA,0,ES,66,NA
1099,1,1200,1032,1028,1174,1,ES,66,NA
1099,2,47,1010,1462,1009,0,ES,66,NA
1099,2,434,1174,1105,1874,1,ES,66,NA
1099,2,556,1412,1460,1178,0,ES,66,NA
1099,2,597,1412,1460,1877,0,ES,66,NA
1099,2,672,1105,1174,1210,1,ES,66,NA
1099,3,70,1174,1105,1210,1,ES,66,NA
1099,3,1130,1877,1493,1009,0,"ES, ENG",66,NA
1164,1,543,1014,1652,1171,4,PP,66,NA
1164,2,104,1457,1565,NA,14,ES,66,NA
1164,2,786,1122,1201,1118,14,ES,66,NA
1164,3,606,1589,1565,1340,14,PP,66,NA
1164,3,671,1652,1100,1014,4,ES,66,NA
1164,3,952,1201,1298,1340,14,ES,66,NA
1164,3,972,1122,1314,1118,14,ES,66,NA
1164,3,1019,1122,1118,1314,14,ES,66,NA
1115,1,750,1197,1717,1361,7,ES,66,NA
1115,2,104,1265,1338,1748,17,ES,66,NA
1115,2,205,965,1570,1197,7,PP,66,NA
1115,2,902,1364,1274,1401,17,ES,66,NA
1115,3,222,1344,NA,NA,7,ES,66,NA
1115,3,326,1353,1458,1993,17,ES,66,NA
1115,3,507,1361,1717,1570,7,ES,66,NA
1115,3,906,1361,NA,NA,7,ES,66,NA
1516,3,49,1394,1327,1405,9,ES,66,NA
1516,3,602,1260,1255,1308,9,SH,66,NA
1516,3,658,1084,1611,1678,16,ES,66,NA
1516,3,1086,1737,1264,1678,16,SH,66,NA
1124,1,713,828,NA,NA,2,ES,66,NA
1124,2,752,1361,1261,1271,7,ES,66,NA
1124,3,489,1111,1435,1870,2,ES,66,NA
1124,3,703,1305,828,1200,2,ES,66,NA
1124,3,838,1302,NA,NA,2,ES,66,NA
1124,3,892,1305,1302,1435,2,ES,66,NA
1141,1,85,1162,1005,1876,3,ES,66,NA
1141,1,321,1269,1093,1346,3,ES,66,NA
1141,1,411,1162,1005,1876,3,PP,66,NA
1141,1,915,1372,1696,1429,3,ES,66,NA
1141,1,1134,1093,1346,1035,3,ES,66,NA
1141,2,384,1372,1696,1293,3,ES,66,NA
1141,2,963,1039,1055,1346,3,ES,66,NA
1141,3,127,1093,1035,1039,3,ES,66,NA
1141,3,174,1005,1293,1162,3,ES,66,NA
1141,3,329,1162,1035,1055,3,ES,66,NA
1141,3,390,1028,1059,1032,1,PP,66,NA
1093,1,332,1703,1678,1403,16,ES,66,NA
1093,1,1050,1403,1703,1737,16,ES,66,NA
1093,2,85,1199,1048,1629,0,PP,66,NA
1093,2,386,1178,1493,NA,0,ES,66,NA
1093,2,567,1733,1084,1734,16,ES,66,NA
1093,2,1040,1010,1164,1877,0,ES,66,NA
1093,3,358,1703,1231,1215,16,ES,66,NA
1093,3,1054,1178,783,1164,0,ES,66,NA
1093,OT1,32,1084,1678,1264,16,ES,66,NA
1525,1,55,1064,1290,NA,8,ES,66,NA
1525,1,188,1064,1143,1290,8,ES,66,NA
1525,2,277,1096,879,1157,6,ES,66,NA
1525,2,607,983,879,1045,6,PP,66,NA
1525,3,182,1104,1869,879,6,ES,66,NA
1525,3,984,1869,1306,1444,6,ES,66,NA
1127,1,377,1270,1193,1171,4,SH,66,NA
1127,1,517,1466,1482,1652,4,ES,66,NA
1127,1,642,994,999,1226,5,ES,66,NA
1127,1,853,1270,1100,1014,4,PP,66,NA
1127,2,115,999,1051,1226,5,PP,66,NA
1127,2,178,1483,1990,1272,5,ES,66,NA
1127,3,1111,1871,858,1051,5,ES,66,NA
1127,3,1123,1226,1002,1053,5,"ES, ENG",66,NA
1112,1,1112,1184,988,1747,2,ES,66,NA
1112,2,360,1302,1435,1870,2,ES,66,NA
1112,2,939,965,1309,NA,7,ES,66,NA
1112,3,356,1302,1267,NA,2,ES,66,NA
1112,3,378,1184,NA,NA,2,ES,66,NA
1112,3,839,1305,1740,1747,2,PP,66,NA
1160,1,413,1101,1397,1247,15,ES,66,NA
1160,1,1101,833,1355,968,15,ES,66,NA
1160,2,740,1458,1401,1748,17,ES,66,NA
1160,3,136,1274,1458,1117,17,ES,66,NA
1160,3,804,1748,1265,1155,17,ES,66,NA
1160,3,1164,1253,1364,1233,17,"ES, ENG",66,NA
1102,1,479,1425,1104,1045,6,ES,66,NA
1102,1,693,1327,1992,1325,9,ES,66,NA
1102,2,605,1096,NA,NA,6,PP,66,NA
1102,2,1043,1096,1425,NA,6,ES,66,NA
1102,2,1184,1405,1992,1327,9,ES,66,NA
1102,3,544,1425,879,1869,6,ES,66,NA
1102,3,596,879,983,1157,6,ES,66,NA
1102,3,1169,1425,1487,1096,6,SH,66,NA
1148,1,22,1162,1352,1005,3,ES,66,NA
1148,1,620,1652,1601,1171,4,ES,66,NA
1148,1,844,872,1017,1100,4,ES,66,NA
1148,2,411,1601,1017,1408,4,ES,66,NA
1148,2,784,1162,1039,1005,3,ES,66,NA
1148,3,113,1162,1005,1039,3,PP,66,NA
1148,3,367,1093,1346,1035,3,ES,66,NA
1148,3,438,1712,1372,1696,3,ES,66,NA
1148,3,1137,1017,1652,1100,4,ES,66,NA
1176,1,134,1298,1310,1457,14,ES,66,NA
1176,2,216,1565,1589,1078,14,ES,66,NA
1176,2,592,1298,1201,1195,14,ES,66,NA
1176,2,1178,1314,1340,1402,14,ES,66,NA
1176,3,602,1122,1298,1589,14,PP,66,NA
1104,1,505,1104,1045,1227,6,PP,66,NA
1104,2,537,1869,879,1045,6,ES,66,NA
1104,2,968,1200,1184,1111,2,ES,66,NA
1104,3,234,879,NA,NA,6,ES,66,NA
1104,3,838,1027,1435,NA,2,PP,66,NA
1104,3,1136,879,1104,1487,6,"ES, ENG",66,NA
1100,1,552,1076,NA,NA,8,ES,66,NA
1100,2,795,1290,1143,1064,8,PP,66,NA
1100,3,164,1629,783,1199,0,ES,66,NA
1153,2,13,1565,1589,1078,14,ES,66,NA
