"PlayerID","TeamID","FranchiseID","LeagueID","SeasonID","GP","Minutes","Wins","Losses","OT","ShotsAgainst","Saves","GoalsAgainst","GAA","Shutouts","SavePct","GameRating"
"70","2","2","2","83","5","202","0","2","0","126","107","19","5.62","0","0.849","54"
"165","5","5","2","83","7","377","5","0","1","147","133","14","2.22","0","0.905","67"
"1354","9","9","2","83","10","606","4","5","1","303","266","37","3.66","0","0.878","64"
"1452","4","4","2","83","9","544","5","3","1","284","262","22","2.43","1","0.923","79"
"1213","6","6","2","83","11","663","8","2","0","328","291","37","3.34","0","0.887","66"
"1346","13","13","2","83","4","250","2","0","2","106","93","13","3.12","0","0.877","64"
"364","11","11","2","83","5","299","3","2","0","143","132","11","2.21","1","0.923","80"
"399","4","4","2","83","3","179","2","1","0","75","68","7","2.33","0","0.907","70"
"429","13","13","2","83","8","489","4","1","3","215","196","19","2.33","2","0.912","75"
"682","10","10","2","83","11","567","4","5","0","271","242","29","3.07","1","0.893","66"
"694","7","7","2","83","9","534","6","2","1","252","224","28","3.14","1","0.889","69"
"742","14","14","2","83","5","255","3","1","0","113","106","7","1.64","1","0.938","76"
"730","1","1","2","83","12","682","3","8","1","417","359","58","5.10","0","0.861","60"
"1179","6","6","2","83","2","68","1","1","0","27","25","2","1.76","0","0.926","62"
"961","2","2","2","83","10","518","1","9","0","321","283","38","4.40","0","0.882","65"
"3321","9","9","1","83","50","2906","26","20","3","1582","1412","170","3.51","3","0.893","70"
"3622","18","18","1","83","16","831","5","8","0","444","382","62","4.48","1","0.860","58"
"3530","7","7","1","83","46","2676","26","18","2","1340","1188","152","3.41","0","0.887","67"
"3154","2","2","0","83","46","2438","19","17","3","1429","1289","140","3.44","2","0.902","72"
"3122","3","3","0","83","50","2749","14","30","3","1726","1504","222","4.84","4","0.871","63"
"2914","6","6","1","83","58","3230","23","23","6","1722","1524","198","3.68","2","0.885","66"
"3438","8","8","1","83","25","1421","18","5","1","691","621","70","2.95","1","0.899","70"
"3421","14","14","1","83","23","1358","9","8","5","604","524","80","3.53","3","0.868","60"
"3669","4","4","1","83","26","1329","14","5","0","772","689","83","3.74","1","0.892","67"
"3417","1","1","1","83","53","3041","20","28","4","1776","1583","193","3.81","3","0.891","70"
"3006","7","7","1","83","24","1290","12","6","2","675","612","63","2.93","1","0.907","71"
"3159","17","17","1","83","34","2032","20","10","3","888","802","86","2.54","3","0.903","70"
"3369","6","6","1","83","22","764","5","6","3","446","398","48","3.77","1","0.892","63"
"3308","4","4","1","83","47","2627","18","28","0","1610","1424","186","4.25","2","0.884","68"
"3296","2","2","1","83","18","722","3","6","0","482","429","53","4.40","1","0.890","66"
"3105","2","2","1","83","57","3253","21","32","4","2041","1815","226","4.17","1","0.889","71"
"3094","15","15","1","83","6","305","4","2","0","192","174","18","3.54","0","0.906","76"
"3481","9","9","1","83","3","139","0","3","0","77","65","12","5.17","0","0.844","51"
"3553","7","7","0","83","30","1317","11","6","1","722","644","78","3.55","0","0.892","65"
"2921","21","21","0","83","42","2420","26","12","3","1116","996","120","2.97","2","0.892","67"
"3547","22","22","0","83","62","3612","31","29","1","2012","1790","222","3.69","3","0.890","68"
"3111","16","16","1","83","55","3043","17","28","6","1703","1484","219","4.32","0","0.871","62"
"2894","8","8","1","83","45","2568","30","8","4","1257","1127","130","3.04","3","0.897","70"
"3697","9","9","1","83","17","914","8","6","0","519","469","50","3.28","1","0.904","71"
"3639","15","15","1","83","55","3232","40","11","2","1627","1465","162","3.01","1","0.900","72"
"3119","0","0","1","83","37","2101","15","20","1","1051","934","117","3.34","3","0.889","68"
"4069","3","3","1","83","11","509","6","2","0","263","237","26","3.06","0","0.901","67"
"4070","5","5","1","83","20","1113","8","10","1","664","601","63","3.40","2","0.905","74"
"4278","20","20","0","83","54","3236","26","25","3","1635","1429","206","3.82","1","0.874","64"
"5307","13","13","0","83","50","2181","7","28","2","1620","1415","205","5.64","0","0.873","62"
"4068","18","18","1","83","55","3150","32","20","1","1711","1535","176","3.35","4","0.897","72"
"4987","23","23","0","83","15","571","5","6","0","366","324","42","4.41","1","0.885","62"
"4455","18","18","0","83","36","1932","27","4","0","872","787","85","2.64","2","0.903","68"
"4546","4","4","0","83","20","942","9","6","0","454","388","66","4.20","0","0.855","55"
"4468","25","25","0","83","54","3010","17","34","3","1595","1381","214","4.27","3","0.866","60"
"4463","0","0","0","83","49","2882","23","23","1","1515","1358","157","3.27","2","0.896","71"
"4207","0","0","1","83","34","1866","10","18","2","982","861","121","3.89","0","0.877","64"
"5231","8","8","0","83","30","1155","6","9","2","727","626","101","5.24","0","0.861","56"
"4854","7","7","0","83","50","2651","19","26","3","1445","1258","187","4.23","1","0.871","62"
"3750","10","10","0","83","53","2904","4","44","2","1978","1713","265","5.47","0","0.866","61"
"5201","22","22","0","83","7","366","2","3","0","180","154","26","4.25","0","0.856","55"
"5166","11","11","0","83","21","1174","13","3","2","555","505","50","2.55","1","0.910","71"
"4632","6","6","0","83","15","873","6","8","0","508","447","61","4.19","0","0.880","65"
"5139","14","14","0","83","23","1327","15","6","1","585","519","66","2.98","3","0.887","65"
"4102","4","4","0","83","54","3027","33","16","2","1508","1328","180","3.57","3","0.881","64"
"4225","25","25","0","83","22","964","3","9","0","533","475","58","3.61","1","0.891","62"
"5279","1","1","0","83","27","1553","20","4","1","659","584","75","2.90","0","0.886","64"
"4830","12","12","0","83","11","284","0","0","1","145","118","27","5.70","0","0.814","45"
"4861","8","8","0","83","54","2808","12","36","1","1825","1582","243","5.19","0","0.867","61"
"5016","24","24","0","83","23","1006","9","7","0","582","508","74","4.41","0","0.873","60"
"4174","19","19","0","83","21","1239","12","8","0","467","411","56","2.71","1","0.880","62"
"3843","11","11","0","83","48","2793","24","23","1","1466","1286","180","3.87","2","0.877","65"
"4566","0","0","0","83","20","1087","5","12","2","624","546","78","4.31","1","0.875","63"
"3882","1","1","1","83","22","934","7","6","1","528","485","43","2.76","1","0.919","71"
"5331","13","13","0","83","47","1787","5","23","1","1314","1128","186","6.24","0","0.858","55"
"3900","12","12","0","83","66","3682","13","48","4","2176","1885","291","4.74","1","0.866","60"
"4411","14","14","0","83","45","2646","27","15","2","1316","1165","151","3.42","2","0.885","67"
"3894","14","14","1","83","45","2630","26","17","1","1190","1049","141","3.22","5","0.882","65"
"3886","17","17","1","83","33","1978","25","8","0","854","768","86","2.61","1","0.899","69"
"4704","2","2","0","83","34","1530","14","13","0","853","760","93","3.65","1","0.891","64"
"4740","10","10","0","83","23","1060","3","13","0","636","552","84","4.75","0","0.868","59"
"4655","21","21","0","83","30","1571","18","4","3","818","745","73","2.79","3","0.911","73"
"4329","5","5","0","83","56","3265","38","12","3","1490","1339","151","2.77","7","0.899","69"
"3906","19","19","1","83","55","3120","16","32","4","1786","1554","232","4.46","1","0.870","62"
"4717","20","20","0","83","13","729","7","5","0","347","309","38","3.13","1","0.890","66"
"4517","19","19","0","83","47","2738","36","6","4","1264","1121","143","3.13","3","0.887","67"
"4056","19","19","1","83","20","856","3","11","0","538","452","86","6.02","0","0.840","50"
"3746","6","6","0","83","52","3103","34","15","3","1497","1321","176","3.40","4","0.882","66"
"4943","1","1","0","83","41","2414","29","11","1","1305","1175","130","3.23","1","0.900","72"
"4047","16","16","1","83","21","960","7","9","0","579","503","76","4.75","0","0.869","59"
"4965","5","5","0","83","14","714","7","4","2","325","281","44","3.69","0","0.865","58"
"4973","9","9","0","83","46","2740","34","12","0","1287","1122","165","3.61","1","0.872","62"
"4041","5","5","1","83","49","2864","24","20","3","1417","1268","149","3.12","2","0.895","69"
"4815","3","3","0","83","23","1220","6","13","0","824","713","111","5.46","0","0.865","61"
"4478","15","15","0","83","25","1421","6","17","0","825","718","107","4.52","1","0.870","62"
"4512","18","18","0","83","38","2029","23","10","2","915","809","106","3.13","1","0.884","63"
"4903","24","24","0","83","54","2965","30","19","1","1670","1460","210","4.25","1","0.874","64"
"2655","14","14","3","83","6","321","4","1","0","150","135","15","2.80","0","0.900","67"
"2641","4","4","3","83","5","265","3","1","0","157","143","14","3.16","0","0.911","76"
"2575","23","23","0","83","58","3407","26","27","2","1979","1756","223","3.93","3","0.887","69"
"2327","0","0","3","83","6","360","5","1","0","150","135","15","2.50","0","0.900","69"
"2319","13","13","3","83","6","307","4","2","0","182","164","18","3.51","0","0.901","69"
